hop	package	version	architecture	component	suite	pocket	filename	relative_pool_path	size_bytes	sha256	original_url	acquisition_source	seed_local_path	profile	provenance
xenial-to-bionic	accountsservice	0.6.45-1ubuntu1.3	amd64	main	bionic-security	security	accountsservice_0.6.45-1ubuntu1.3_amd64.deb	pool/main/a/accountsservice/accountsservice_0.6.45-1ubuntu1.3_amd64.deb	62420	3d76bac7ae425b8eff2599da2b02b2874ad2df6603d0b7b645cf8cc1f830c9a1	http://archive.ubuntu.com/ubuntu/pool/main/a/accountsservice/accountsservice_0.6.45-1ubuntu1.3_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	amd64-microcode	3.20191021.1+really3.20181128.1~ubuntu0.18.04.1	amd64	main	bionic-security	security	amd64-microcode_3.20191021.1+really3.20181128.1~ubuntu0.18.04.1_amd64.deb	pool/main/a/amd64-microcode/amd64-microcode_3.20191021.1+really3.20181128.1~ubuntu0.18.04.1_amd64.deb	31584	40c0e092592da96ce42943926653d4652a56e3715031df90132493dd98dddfef	http://archive.ubuntu.com/ubuntu/pool/main/a/amd64-microcode/amd64-microcode_3.20191021.1+really3.20181128.1~ubuntu0.18.04.1_amd64.deb	downloaded		generic	profile=generic
xenial-to-bionic	apache2-utils	2.4.29-1ubuntu4.27	amd64	main	bionic-security	security	apache2-utils_2.4.29-1ubuntu4.27_amd64.deb	pool/main/a/apache2/apache2-utils_2.4.29-1ubuntu4.27_amd64.deb	83308	129929a1ac334f07f083d3b5ee6b0a52d67efe2fb7575dac72e386afaadfdb95	http://archive.ubuntu.com/ubuntu/pool/main/a/apache2/apache2-utils_2.4.29-1ubuntu4.27_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	apparmor	2.12-4ubuntu5.3	amd64	main	bionic-security	security	apparmor_2.12-4ubuntu5.3_amd64.deb	pool/main/a/apparmor/apparmor_2.12-4ubuntu5.3_amd64.deb	487716	7a295728d5fdc7db44661fc6258a2515d223d66621900747dbdaae7f384c321c	http://archive.ubuntu.com/ubuntu/pool/main/a/apparmor/apparmor_2.12-4ubuntu5.3_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	apport	2.20.9-0ubuntu7.29+esm3	all	main	bionic-security	security	apport_2.20.9-0ubuntu7.29+esm3_all.deb	pool/main/a/apport/apport_2.20.9-0ubuntu7.29+esm3_all.deb	126296	0cef87c567a0f8b28aa9c5f243e5f64f7dfc05e8b382ecc50f6cc7d5bb42f6a8	http://archive.ubuntu.com/ubuntu/pool/main/a/apport/apport_2.20.9-0ubuntu7.29+esm3_all.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	bash	4.4.18-2ubuntu1.3	amd64	main	bionic-security	security	bash_4.4.18-2ubuntu1.3_amd64.deb	pool/main/b/bash/bash_4.4.18-2ubuntu1.3_amd64.deb	614620	54e03bbeb6bf647f7bef19ac88b4209e435af1b339f0c779c66e9ec57c737f72	http://archive.ubuntu.com/ubuntu/pool/main/b/bash/bash_4.4.18-2ubuntu1.3_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	bind9-host	1:9.11.3+dfsg-1ubuntu1.18	amd64	main	bionic-security	security	bind9-host_9.11.3+dfsg-1ubuntu1.18_amd64.deb	pool/main/b/bind9/bind9-host_9.11.3+dfsg-1ubuntu1.18_amd64.deb	53540	de4447d3aa6836358474d288b065494216bc32492f9f45ed52f4794e0e783f20	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-host_9.11.3+dfsg-1ubuntu1.18_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	binutils	2.30-21ubuntu1~18.04.9	amd64	main	bionic-security	security	binutils_2.30-21ubuntu1~18.04.9_amd64.deb	pool/main/b/binutils/binutils_2.30-21ubuntu1~18.04.9_amd64.deb	3392	87a2aa5f0d3b7c31e0fb16055d6a5ed6e5a668c75c4dd02c32a08e4fc4980f8d	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils_2.30-21ubuntu1~18.04.9_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	binutils-common	2.30-21ubuntu1~18.04.9	amd64	main	bionic-security	security	binutils-common_2.30-21ubuntu1~18.04.9_amd64.deb	pool/main/b/binutils/binutils-common_2.30-21ubuntu1~18.04.9_amd64.deb	196808	52a7fac6b89db7049106040d56fef6f8d405050d56151b6d576e491cd32c0501	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils-common_2.30-21ubuntu1~18.04.9_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	binutils-x86-64-linux-gnu	2.30-21ubuntu1~18.04.9	amd64	main	bionic-security	security	binutils-x86-64-linux-gnu_2.30-21ubuntu1~18.04.9_amd64.deb	pool/main/b/binutils/binutils-x86-64-linux-gnu_2.30-21ubuntu1~18.04.9_amd64.deb	1839460	513f472188f42de5a8bcd5373cdf18cb8651bab629a941bbd32f34f14e277223	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils-x86-64-linux-gnu_2.30-21ubuntu1~18.04.9_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	bsdutils	1:2.31.1-0.4ubuntu3.7	amd64	main	bionic-security	security	bsdutils_2.31.1-0.4ubuntu3.7_amd64.deb	pool/main/u/util-linux/bsdutils_2.31.1-0.4ubuntu3.7_amd64.deb	60212	f2f19c529e88a07ec764256fd75d12c95190f79ffa38f33ba5cd096effdf7760	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdutils_2.31.1-0.4ubuntu3.7_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	busybox-initramfs	1:1.27.2-2ubuntu3.4	amd64	main	bionic-security	security	busybox-initramfs_1.27.2-2ubuntu3.4_amd64.deb	pool/main/b/busybox/busybox-initramfs_1.27.2-2ubuntu3.4_amd64.deb	165572	4d8ddcdf26c79f6ff4d1bceb5dcdb9a82480d75738c5daaf1817601bdda8a90e	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-initramfs_1.27.2-2ubuntu3.4_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	busybox-static	1:1.27.2-2ubuntu3.4	amd64	main	bionic-security	security	busybox-static_1.27.2-2ubuntu3.4_amd64.deb	pool/main/b/busybox/busybox-static_1.27.2-2ubuntu3.4_amd64.deb	918156	08e48efa90c16397ecf7d869bec0758ec635faa85cb079427a467fb4377574a3	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-static_1.27.2-2ubuntu3.4_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	bzip2	1.0.6-8.1ubuntu0.2	amd64	main	bionic-security	security	bzip2_1.0.6-8.1ubuntu0.2_amd64.deb	pool/main/b/bzip2/bzip2_1.0.6-8.1ubuntu0.2_amd64.deb	33928	14955e4660d85da6507e9074f14f4d412bc7bf9e7841f327cf8751a6d227e329	http://archive.ubuntu.com/ubuntu/pool/main/b/bzip2/bzip2_1.0.6-8.1ubuntu0.2_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	ca-certificates	20230311ubuntu0.18.04.1	all	main	bionic-security	security	ca-certificates_20230311ubuntu0.18.04.1_all.deb	pool/main/c/ca-certificates/ca-certificates_20230311ubuntu0.18.04.1_all.deb	150728	ebab7dae205c7ad4a6d12cada2b611896ebc0d8b0477d96d2659b9959e5f4703	http://archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates/ca-certificates_20230311ubuntu0.18.04.1_all.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	ca-certificates-java	20180516ubuntu1~18.04.2	all	main	bionic-security	security	ca-certificates-java_20180516ubuntu1~18.04.2_all.deb	pool/main/c/ca-certificates-java/ca-certificates-java_20180516ubuntu1~18.04.2_all.deb	12472	4bb79f23113dce03cb1567f7c07d8800ef049491ad2e52edeeca12c6c75ab957	http://archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates-java/ca-certificates-java_20180516ubuntu1~18.04.2_all.deb	downloaded		generic	profile=generic
xenial-to-bionic	cpio	2.12+dfsg-6ubuntu0.18.04.4	amd64	main	bionic-security	security	cpio_2.12+dfsg-6ubuntu0.18.04.4_amd64.deb	pool/main/c/cpio/cpio_2.12+dfsg-6ubuntu0.18.04.4_amd64.deb	86404	0a720bdd184d6073331c1a206475ac2ec1146b07097fecc2159d66c5e0e4cf3a	http://archive.ubuntu.com/ubuntu/pool/main/c/cpio/cpio_2.12+dfsg-6ubuntu0.18.04.4_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	cpp	4:7.4.0-1ubuntu2.3	amd64	main	bionic-security	security	cpp_7.4.0-1ubuntu2.3_amd64.deb	pool/main/g/gcc-defaults/cpp_7.4.0-1ubuntu2.3_amd64.deb	27656	6587837e97571bf64e5b673d0f0923b52e3f4e601e15df3907f9a246dd3eaae4	http://archive.ubuntu.com/ubuntu/pool/main/g/gcc-defaults/cpp_7.4.0-1ubuntu2.3_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	cpp-7	7.5.0-3ubuntu1~18.04	amd64	main	bionic-security	security	cpp-7_7.5.0-3ubuntu1~18.04_amd64.deb	pool/main/g/gcc-7/cpp-7_7.5.0-3ubuntu1~18.04_amd64.deb	8591092	54ef20b753876e38ac478f05170ef1c4fc856db12b1dfaa0ffb14e220e527d61	http://archive.ubuntu.com/ubuntu/pool/main/g/gcc-7/cpp-7_7.5.0-3ubuntu1~18.04_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	cron	3.0pl1-128.1ubuntu1.2	amd64	main	bionic-security	security	cron_3.0pl1-128.1ubuntu1.2_amd64.deb	pool/main/c/cron/cron_3.0pl1-128.1ubuntu1.2_amd64.deb	69548	e7cd32c4962a28ed82ea87150a702cae4d3db3ba32e58514268c16d1497378f5	http://archive.ubuntu.com/ubuntu/pool/main/c/cron/cron_3.0pl1-128.1ubuntu1.2_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	curl	7.58.0-2ubuntu3.24	amd64	main	bionic-security	security	curl_7.58.0-2ubuntu3.24_amd64.deb	pool/main/c/curl/curl_7.58.0-2ubuntu3.24_amd64.deb	158760	b7a477c240e239f561fdefeb9c34de94fb4e58eb538cbe7c699fe30a7a35bb07	http://archive.ubuntu.com/ubuntu/pool/main/c/curl/curl_7.58.0-2ubuntu3.24_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	dbus	1.12.2-1ubuntu1.4	amd64	main	bionic-security	security	dbus_1.12.2-1ubuntu1.4_amd64.deb	pool/main/d/dbus/dbus_1.12.2-1ubuntu1.4_amd64.deb	150168	5126617e2e0064ac1d5e5e8a4ddca576d49ab4f6465a3464eb3f0620bbbdfd39	http://archive.ubuntu.com/ubuntu/pool/main/d/dbus/dbus_1.12.2-1ubuntu1.4_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	dirmngr	2.2.4-1ubuntu1.6	amd64	main	bionic-security	security	dirmngr_2.2.4-1ubuntu1.6_amd64.deb	pool/main/g/gnupg2/dirmngr_2.2.4-1ubuntu1.6_amd64.deb	316648	3dd4b9602c9a1ee1526665f97b7c466b00e702da152d0d46e5d455517183ba66	http://archive.ubuntu.com/ubuntu/pool/main/g/gnupg2/dirmngr_2.2.4-1ubuntu1.6_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	distro-info	0.18ubuntu0.18.04.1	amd64	main	bionic-security	security	distro-info_0.18ubuntu0.18.04.1_amd64.deb	pool/main/d/distro-info/distro-info_0.18ubuntu0.18.04.1_amd64.deb	19948	b4630906326a30e845c194dfc3d2d09e17c79f02af7094fc8ea60cf056ea95b0	http://archive.ubuntu.com/ubuntu/pool/main/d/distro-info/distro-info_0.18ubuntu0.18.04.1_amd64.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	distro-info-data	0.37ubuntu0.21	all	main	bionic-security	security	distro-info-data_0.37ubuntu0.21_all.deb	pool/main/d/distro-info-data/distro-info-data_0.37ubuntu0.21_all.deb	5204	494405ea3f71c59b4ae2d08ea5f2750fba9cab89a538eee6dbdd6cea366c7992	http://archive.ubuntu.com/ubuntu/pool/main/d/distro-info-data/distro-info-data_0.37ubuntu0.21_all.deb	downloaded		aws,generic	profile=aws,generic
xenial-to-bionic	dnsmasq-base	2.79-1ubuntu0.7	amd64	main	bionic-security	security	dnsmasq-base_2.79-1ubuntu0.7_amd64.deb	pool/main/d/dnsmasq/dnsmasq-base_2.79-1ubuntu0.7_amd64.deb	307332	fe73340f9c0c8b58a4a3d4d1ad87e950f540c96a6dbb28232d3db52c1a78c90d	http://archive.ubuntu.com/ubuntu/pool/main/d/dnsmasq/dnsmasq-base_2.79-1ubuntu0.7_amd64.deb	downloaded		aws,generic	profile=aws,generic
