hop	package	version	architecture	source_package	filename	repository_host	suite	component	size_bytes	sha256	original_url	final_url	requested	downloaded	installed	evidence_source
bionic-to-focal	gcc-10-base	10.5.0-1ubuntu1%7e20.04	amd64	gcc-10-base	gcc-10-base_10.5.0-1ubuntu1%7e20.04_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	20776	8fac06791057b1bba6178466e160bb3ec2a795297f10e88e34daf762572ed5c0	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/gcc-10/gcc-10-base_10.5.0-1ubuntu1%7e20.04_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/gcc-10/gcc-10-base_10.5.0-1ubuntu1%7e20.04_amd64.deb	true	true	true	proxy_access_log
bionic-to-focal	libgcc-s1	10.5.0-1ubuntu1%7e20.04	amd64	libgcc-s1	libgcc-s1_10.5.0-1ubuntu1%7e20.04_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	41824	4aa7b9c9f3225df65a750ae0ff5c890fc6108c82a609b3c5abd45d211838bf3c	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/gcc-10/libgcc-s1_10.5.0-1ubuntu1%7e20.04_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/gcc-10/libgcc-s1_10.5.0-1ubuntu1%7e20.04_amd64.deb	true	true	true	proxy_access_log
bionic-to-focal	libcrypt1	4.4.10-10ubuntu4	amd64	libcrypt1	libcrypt1_4.4.10-10ubuntu4_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	78204	231b4dbbe5865775f118cfa61394f1e16fa7102b6953a327e672499a20876d73	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libx/libxcrypt/libcrypt1_4.4.10-10ubuntu4_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libx/libxcrypt/libcrypt1_4.4.10-10ubuntu4_amd64.deb	true	true	true	proxy_access_log
bionic-to-focal	libc6	2.31-0ubuntu9.18	amd64	glibc	libc6_2.31-0ubuntu9.18_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	2720364	1b2281aac4935dfea1f89dfc19e445fdbb45303202af60679ccb8bf035f081a0	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc6_2.31-0ubuntu9.18_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc6_2.31-0ubuntu9.18_amd64.deb	true	true	true	proxy_access_log
bionic-to-focal	libc-bin	2.31-0ubuntu9.18	amd64	glibc	libc-bin_2.31-0ubuntu9.18_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	635760	44a3c32675252c55998e083f511564fe5b6540ad189d6b46355ad2372b9ed498	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc-bin_2.31-0ubuntu9.18_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc-bin_2.31-0ubuntu9.18_amd64.deb	true	true	true	proxy_access_log
bionic-to-focal	locales	2.31-0ubuntu9.18	all	glibc	locales_2.31-0ubuntu9.18_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	3864040	1b3da153bb6db4453ebf355f52b29db84b473bd6315f2fcb45eaf2df8e99c2ac	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/locales_2.31-0ubuntu9.18_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/locales_2.31-0ubuntu9.18_all.deb	true	true	true	proxy_access_log
bionic-to-focal	libc-dev-bin	2.31-0ubuntu9.18	amd64	glibc	libc-dev-bin_2.31-0ubuntu9.18_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	71692	fa27f5aaf9f954c706f4f5b8df599c8697f1cf413520abc56d4578dcb50db216	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc-dev-bin_2.31-0ubuntu9.18_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc-dev-bin_2.31-0ubuntu9.18_amd64.deb	true	true	true	proxy_access_log
bionic-to-focal	manpages	5.05-1	all	manpages	manpages_5.05-1_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	1314408	726c7d3207d211188d3b0483972683d0c1e2408809f27a59466e123f0131113a	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/manpages/manpages_5.05-1_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/manpages/manpages_5.05-1_all.deb	true	true	true	proxy_access_log
bionic-to-focal	manpages-dev	5.05-1	all	manpages	manpages-dev_5.05-1_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	2265524	512c79390eb690ee9e60943f233d45141c04a511eee9573888e795f523979d25	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/manpages/manpages-dev_5.05-1_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/manpages/manpages-dev_5.05-1_all.deb	true	true	true	proxy_access_log
bionic-to-focal	libc6-dev	2.31-0ubuntu9.18	amd64	glibc	libc6-dev_2.31-0ubuntu9.18_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	2519636	11029900f2315b93ce487792ae1bf15f0927e5e50880c091e6a440b14d4e164a	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc6-dev_2.31-0ubuntu9.18_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc6-dev_2.31-0ubuntu9.18_amd64.deb	true	true	true	proxy_access_log
