hop	package	version	architecture	source_package	filename	repository_host	suite	component	size_bytes	sha256	original_url	final_url	requested	downloaded	installed	evidence_source
jammy-to-noble	motd-news-config	13ubuntu10.4	all	base-files	motd-news-config_13ubuntu10.4_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	4012	df8d036108d56d20d628ffead4e0c0a8d04cfab5014c15f36d6f3972274df33f	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/b/base-files/motd-news-config_13ubuntu10.4_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/b/base-files/motd-news-config_13ubuntu10.4_all.deb	true	true	true	proxy_access_log
jammy-to-noble	locales	2.39-0ubuntu8.8	all	glibc	locales_2.39-0ubuntu8.8_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	4231022	cdd2d347a357da6b9b1f2bd9e08c10a2a3a4686fad050791d30915d0ce0bb506	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/locales_2.39-0ubuntu8.8_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/locales_2.39-0ubuntu8.8_all.deb	true	true	true	proxy_access_log
jammy-to-noble	libc-dev-bin	2.39-0ubuntu8.8	amd64	glibc	libc-dev-bin_2.39-0ubuntu8.8_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	20418	c894e5a5f137429657d09e853fbbb19d53fc164c60804c396cd43873b0b4f734	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc-dev-bin_2.39-0ubuntu8.8_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/g/glibc/libc-dev-bin_2.39-0ubuntu8.8_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	rpcsvc-proto	1.4.2-0ubuntu7	amd64	rpcsvc-proto	rpcsvc-proto_1.4.2-0ubuntu7_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	67446	7eb710fe148d224c159ddec1ceb0ba53ead52a80a6793dcdae1474acf20d8f71	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/r/rpcsvc-proto/rpcsvc-proto_1.4.2-0ubuntu7_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/r/rpcsvc-proto/rpcsvc-proto_1.4.2-0ubuntu7_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	libtirpc-common	1.3.4%2bds-1.1build1	all	libtirpc-common	libtirpc-common_1.3.4%2bds-1.1build1_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	8094	212d8873ac952bc68f4cf56d7eaf17566f86f5c7cc4b971899a0c56e174699cc	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libt/libtirpc/libtirpc-common_1.3.4%2bds-1.1build1_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libt/libtirpc/libtirpc-common_1.3.4%2bds-1.1build1_all.deb	true	true	true	proxy_access_log
jammy-to-noble	libtirpc-dev	1.3.4%2bds-1.1build1	amd64	libtirpc-dev	libtirpc-dev_1.3.4%2bds-1.1build1_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	193418	439322bbb8d0b1d44f92593edb6c8ba9693bcfb3b5f1f3bd152998f42cdf7a5d	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libt/libtirpc/libtirpc-dev_1.3.4%2bds-1.1build1_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libt/libtirpc/libtirpc-dev_1.3.4%2bds-1.1build1_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	ubuntu-advantage-desktop-daemon	1.11ubuntu0.1	amd64	ubuntu-advantage-desktop-daemon	ubuntu-advantage-desktop-daemon_1.11ubuntu0.1_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	22280	801470b7fe37282252523e18f4a343f44718dd2fb9506149af9955096eea5575	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/u/ubuntu-advantage-desktop-daemon/ubuntu-advantage-desktop-daemon_1.11ubuntu0.1_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/u/ubuntu-advantage-desktop-daemon/ubuntu-advantage-desktop-daemon_1.11ubuntu0.1_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	libudisks2-0	2.10.1-6ubuntu1.3	amd64	udisks2	libudisks2-0_2.10.1-6ubuntu1.3_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	174676	a466d1f2cfbc81067f9bd3a892ea33dec6db907075a9f5bd805a490a3dda4f80	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/u/udisks2/libudisks2-0_2.10.1-6ubuntu1.3_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/u/udisks2/libudisks2-0_2.10.1-6ubuntu1.3_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	libblockdev-utils3	3.1.1-1ubuntu0.1	amd64	libblockdev	libblockdev-utils3_3.1.1-1ubuntu0.1_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	19240	019c84bec89353717d2a26e5314499fe7fc8d6bc24fdb86aa8f05e8e5c145853	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libb/libblockdev/libblockdev-utils3_3.1.1-1ubuntu0.1_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/libb/libblockdev/libblockdev-utils3_3.1.1-1ubuntu0.1_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	diffutils	3.10-1ubuntu0.1	amd64	diffutils	diffutils_3.10-1ubuntu0.1_amd64.deb	security.ubuntu.com		main	177224	c2acc7889f1d75986c40bee57c0875c02146a9c8833980abfb0a6c62c52301d3	http://security.ubuntu.com/ubuntu/pool/main/d/diffutils/diffutils_3.10-1ubuntu0.1_amd64.deb	http://security.ubuntu.com/ubuntu/pool/main/d/diffutils/diffutils_3.10-1ubuntu0.1_amd64.deb	true	true	true	proxy_access_log
