hop	package	version	architecture	source_package	filename	repository_host	suite	component	size_bytes	sha256	original_url	final_url	requested	downloaded	installed	evidence_source
focal-to-jammy	amd64-microcode	3.20191218.1ubuntu2.3	amd64	amd64-microcode	amd64-microcode_3.20191218.1ubuntu2.3_amd64.deb	archive.ubuntu.com	jammy-security	main	67896	f5c5c26a84fe5d54882b714031e49643976be25031452f7bec9e6f6285f0d28f	http://archive.ubuntu.com/ubuntu/pool/main/a/amd64-microcode/amd64-microcode_3.20191218.1ubuntu2.3_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/a/amd64-microcode/amd64-microcode_3.20191218.1ubuntu2.3_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	apache2-utils	2.4.52-1ubuntu4.23	amd64	apache2	apache2-utils_2.4.52-1ubuntu4.23_amd64.deb	archive.ubuntu.com	jammy-security	main	90086	50c3637db69ed9e342b4f21a9c3a5f09b2826648894b4811ce21651f9bcabc32	http://archive.ubuntu.com/ubuntu/pool/main/a/apache2/apache2-utils_2.4.52-1ubuntu4.23_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/a/apache2/apache2-utils_2.4.52-1ubuntu4.23_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	apport	2.20.11-0ubuntu82.10	all	apport	apport_2.20.11-0ubuntu82.10_all.deb	archive.ubuntu.com	jammy-security	main	134666	08be5c47ffb95b7f819bb62161f0c14ab6506971ba6a6fffaf1441a488473f02	http://archive.ubuntu.com/ubuntu/pool/main/a/apport/apport_2.20.11-0ubuntu82.10_all.deb	http://archive.ubuntu.com/ubuntu/pool/main/a/apport/apport_2.20.11-0ubuntu82.10_all.deb	true	true	true	selective_mirror_export
focal-to-jammy	bash	5.1-6ubuntu1.1	amd64	bash	bash_5.1-6ubuntu1.1_amd64.deb	archive.ubuntu.com	jammy-security	main	768646	ada09ec56baa774af85b01ab8aad32f10ce82aeccbd2889110db318d46e26914	http://archive.ubuntu.com/ubuntu/pool/main/b/bash/bash_5.1-6ubuntu1.1_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/bash/bash_5.1-6ubuntu1.1_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	bind9-dnsutils	1:9.18.39-0ubuntu0.22.04.4	amd64	bind9	bind9-dnsutils_9.18.39-0ubuntu0.22.04.4_amd64.deb	archive.ubuntu.com	jammy-security	main	157978	c9fa873badfddeb42d7fdd542c211df69d0aadc6b6990325e868256cab5b47f7	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-dnsutils_9.18.39-0ubuntu0.22.04.4_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-dnsutils_9.18.39-0ubuntu0.22.04.4_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	bind9-host	1:9.18.39-0ubuntu0.22.04.4	amd64	bind9	bind9-host_9.18.39-0ubuntu0.22.04.4_amd64.deb	archive.ubuntu.com	jammy-security	main	52074	b24607a74cb4a9842ad456aa279f750345405dda971dd98caec9ca8e7dc8d7f5	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-host_9.18.39-0ubuntu0.22.04.4_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-host_9.18.39-0ubuntu0.22.04.4_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	bind9-libs	1:9.18.39-0ubuntu0.22.04.4	amd64	bind9	bind9-libs_9.18.39-0ubuntu0.22.04.4_amd64.deb	archive.ubuntu.com	jammy-security	main	1262996	be11432f8e437063cee454c7c2c7057ffb141d83935d6e8e73ceac92dd014bad	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-libs_9.18.39-0ubuntu0.22.04.4_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-libs_9.18.39-0ubuntu0.22.04.4_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	binutils	2.38-4ubuntu2.12	amd64	binutils	binutils_2.38-4ubuntu2.12_amd64.deb	archive.ubuntu.com	jammy-security	main	3184	7da8d527d9a4ba9b6fea5fe6126a98f81f538db3a4aaa4ced32d2a26761a4707	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils_2.38-4ubuntu2.12_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils_2.38-4ubuntu2.12_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	binutils-common	2.38-4ubuntu2.12	amd64	binutils	binutils-common_2.38-4ubuntu2.12_amd64.deb	archive.ubuntu.com	jammy-security	main	222756	53df914b289b688a0f75cbb6c26c5982f31f7ed951785fff2010ad8450249175	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils-common_2.38-4ubuntu2.12_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils-common_2.38-4ubuntu2.12_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	binutils-x86-64-linux-gnu	2.38-4ubuntu2.12	amd64	binutils	binutils-x86-64-linux-gnu_2.38-4ubuntu2.12_amd64.deb	archive.ubuntu.com	jammy-security	main	2323634	6752566855c79448f8173e61eacde2ef582299480f1abcf4c2ba7ce84718ef32	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils-x86-64-linux-gnu_2.38-4ubuntu2.12_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/binutils/binutils-x86-64-linux-gnu_2.38-4ubuntu2.12_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	bsdextrautils	2.37.2-4ubuntu3.5	amd64	util-linux	bsdextrautils_2.37.2-4ubuntu3.5_amd64.deb	archive.ubuntu.com	jammy-security	main	71408	e468ae82f7b7540ccb09bc964595985a51da82806271fe70b3de817356ac5be6	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdextrautils_2.37.2-4ubuntu3.5_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdextrautils_2.37.2-4ubuntu3.5_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	bsdutils	1:2.37.2-4ubuntu3.5	amd64	util-linux	bsdutils_2.37.2-4ubuntu3.5_amd64.deb	archive.ubuntu.com	jammy-security	main	80736	7344c43e78d7e6a37c0b41b37a9645c3a99a19c13c0be76395ab3828accf62f9	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdutils_2.37.2-4ubuntu3.5_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdutils_2.37.2-4ubuntu3.5_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	busybox-initramfs	1:1.30.1-7ubuntu3.1	amd64	busybox	busybox-initramfs_1.30.1-7ubuntu3.1_amd64.deb	archive.ubuntu.com	jammy-security	main	176898	2b891e68e9150b8376af874d12fbd997d07ea30158706dbc0086bd6487ef0d7b	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-initramfs_1.30.1-7ubuntu3.1_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-initramfs_1.30.1-7ubuntu3.1_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	busybox-static	1:1.30.1-7ubuntu3.1	amd64	busybox	busybox-static_1.30.1-7ubuntu3.1_amd64.deb	archive.ubuntu.com	jammy-security	main	1019206	833b81ad44c4e201059e1bbb1dab285d5d0488736db169adfaa677fd953baae6	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-static_1.30.1-7ubuntu3.1_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-static_1.30.1-7ubuntu3.1_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	ca-certificates	20260601~22.04.1	all	ca-certificates	ca-certificates_20260601~22.04.1_all.deb	archive.ubuntu.com	jammy-security	main	140666	6e8cdcc8c86103acd4fc14649eac62ff2037108389074a7b167567af33c32245	http://archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates/ca-certificates_20260601~22.04.1_all.deb	http://archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates/ca-certificates_20260601~22.04.1_all.deb	true	true	true	selective_mirror_export
focal-to-jammy	containerd	2.2.1-0ubuntu1~22.04.2	amd64	containerd-app	containerd_2.2.1-0ubuntu1~22.04.2_amd64.deb	archive.ubuntu.com	jammy-security	main	28260218	08e309f0fb8ae6f798dc80e54f10e152c8dad6ee16ca6627805382fbb56cb5f1	http://archive.ubuntu.com/ubuntu/pool/main/c/containerd-app/containerd_2.2.1-0ubuntu1~22.04.2_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/c/containerd-app/containerd_2.2.1-0ubuntu1~22.04.2_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	cpio	2.13+dfsg-7ubuntu0.1	amd64	cpio	cpio_2.13+dfsg-7ubuntu0.1_amd64.deb	archive.ubuntu.com	jammy-security	main	84528	55913ec0c4a2dbdbedda5a098b95541b712437306a8a04dae5c9aadb20d33e55	http://archive.ubuntu.com/ubuntu/pool/main/c/cpio/cpio_2.13+dfsg-7ubuntu0.1_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/c/cpio/cpio_2.13+dfsg-7ubuntu0.1_amd64.deb	true	true	true	selective_mirror_export
focal-to-jammy	curl	7.81.0-1ubuntu1.25	amd64	curl	curl_7.81.0-1ubuntu1.25_amd64.deb	archive.ubuntu.com	jammy-security	main	193650	d2d7eca9dc94e93a752589376b2da4c64b6bc300d175eb325cc3aed0389a72df	http://archive.ubuntu.com/ubuntu/pool/main/c/curl/curl_7.81.0-1ubuntu1.25_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/c/curl/curl_7.81.0-1ubuntu1.25_amd64.deb	true	true	true	selective_mirror_export
