hop	package	version	architecture	source_package	filename	repository_host	suite	component	size_bytes	sha256	original_url	final_url	requested	downloaded	installed	evidence_source
jammy-to-noble	amd64-microcode	3.20251202.1ubuntu0.24.04.1	amd64	amd64-microcode	amd64-microcode_3.20251202.1ubuntu0.24.04.1_amd64.deb	archive.ubuntu.com	noble-security	main	458436	75f6860067115841864a4aaa2468665f9f398d3142a8a8b12ad07ebe9e00e4db	http://archive.ubuntu.com/ubuntu/pool/main/a/amd64-microcode/amd64-microcode_3.20251202.1ubuntu0.24.04.1_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/a/amd64-microcode/amd64-microcode_3.20251202.1ubuntu0.24.04.1_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	apache2-utils	2.4.58-1ubuntu8.15	amd64	apache2	apache2-utils_2.4.58-1ubuntu8.15_amd64.deb	archive.ubuntu.com	noble-security	main	99696	1cba9f636e2b6b3325a49c7ae3caf0e3dd59024cd89be2a8a09e3bb52b3d1c3e	http://archive.ubuntu.com/ubuntu/pool/main/a/apache2/apache2-utils_2.4.58-1ubuntu8.15_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/a/apache2/apache2-utils_2.4.58-1ubuntu8.15_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.5	amd64	bind9	bind9-dnsutils_9.18.39-0ubuntu0.24.04.5_amd64.deb	archive.ubuntu.com	noble-security	main	155948	ce2e98ca394df003057e7c9ae4fd99b9c0522c1d2615bd7ecfb557325dbe9b46	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-dnsutils_9.18.39-0ubuntu0.24.04.5_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-dnsutils_9.18.39-0ubuntu0.24.04.5_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	bind9-host	1:9.18.39-0ubuntu0.24.04.5	amd64	bind9	bind9-host_9.18.39-0ubuntu0.24.04.5_amd64.deb	archive.ubuntu.com	noble-security	main	50472	7f22d6f6e14f935dea3dcc32fc44c5b42f2a2f9feecdef5660a01375e50107e3	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-host_9.18.39-0ubuntu0.24.04.5_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-host_9.18.39-0ubuntu0.24.04.5_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	bind9-libs	1:9.18.39-0ubuntu0.24.04.5	amd64	bind9	bind9-libs_9.18.39-0ubuntu0.24.04.5_amd64.deb	archive.ubuntu.com	noble-security	main	1258066	e976826e24d3b4cd1175fe746702a798bbc60230b5a6f101fbb800bb3a27f64e	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-libs_9.18.39-0ubuntu0.24.04.5_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-libs_9.18.39-0ubuntu0.24.04.5_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	bsdextrautils	2.39.3-9ubuntu6.5	amd64	util-linux	bsdextrautils_2.39.3-9ubuntu6.5_amd64.deb	archive.ubuntu.com	noble-security	main	73676	013ec4c2fa3373840f20b202a55b62b66ae450b9e969d5e943001a43a1aec5cc	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdextrautils_2.39.3-9ubuntu6.5_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdextrautils_2.39.3-9ubuntu6.5_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	bsdutils	1:2.39.3-9ubuntu6.5	amd64	util-linux	bsdutils_2.39.3-9ubuntu6.5_amd64.deb	archive.ubuntu.com	noble-security	main	96080	9629afbe37ed010a2c3acdca87031d4daedd9872c65ec8fe5b9f2eea9887c646	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdutils_2.39.3-9ubuntu6.5_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/u/util-linux/bsdutils_2.39.3-9ubuntu6.5_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	busybox-initramfs	1:1.36.1-6ubuntu3.1	amd64	busybox	busybox-initramfs_1.36.1-6ubuntu3.1_amd64.deb	archive.ubuntu.com	noble-security	main	188504	ca306983a443c8a32d99994f3490e8c6366c0f643c85ab12d835f15a043ec52b	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-initramfs_1.36.1-6ubuntu3.1_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-initramfs_1.36.1-6ubuntu3.1_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	busybox-static	1:1.36.1-6ubuntu3.1	amd64	busybox	busybox-static_1.36.1-6ubuntu3.1_amd64.deb	archive.ubuntu.com	noble-security	main	1008874	944b2728f53ceb3916cec2c962873c9951e612408099601751db2a0a5d81e0ed	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-static_1.36.1-6ubuntu3.1_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/b/busybox/busybox-static_1.36.1-6ubuntu3.1_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	ca-certificates	20260601~24.04.1	all	ca-certificates	ca-certificates_20260601~24.04.1_all.deb	archive.ubuntu.com	noble-security	main	139430	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50	http://archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates/ca-certificates_20260601~24.04.1_all.deb	http://archive.ubuntu.com/ubuntu/pool/main/c/ca-certificates/ca-certificates_20260601~24.04.1_all.deb	true	true	true	selective_mirror_export
jammy-to-noble	containerd	2.2.1-0ubuntu1~24.04.3	amd64	containerd-app	containerd_2.2.1-0ubuntu1~24.04.3_amd64.deb	archive.ubuntu.com	noble-security	main	28145484	459a0184cc631c17eb4a625392f749fa753627b4ddba196919e0666a6206d92a	http://archive.ubuntu.com/ubuntu/pool/main/c/containerd-app/containerd_2.2.1-0ubuntu1~24.04.3_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/c/containerd-app/containerd_2.2.1-0ubuntu1~24.04.3_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	curl	8.5.0-2ubuntu10.11	amd64	curl	curl_8.5.0-2ubuntu10.11_amd64.deb	archive.ubuntu.com	noble-security	main	226398	c44c90bf869c9fadb12015afb65178c0346ecb3b88ac1a78b40addadf874c45b	http://archive.ubuntu.com/ubuntu/pool/main/c/curl/curl_8.5.0-2ubuntu10.11_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/c/curl/curl_8.5.0-2ubuntu10.11_amd64.deb	true	true	true	selective_mirror_export
jammy-to-noble	dirmngr	2.4.4-2ubuntu17.4	amd64	gnupg2	dirmngr_2.4.4-2ubuntu17.4_amd64.deb	archive.ubuntu.com	noble-security	main	323242	4155be4f35ffc177ddf0282a635ebdbfd555ebb0dd3b6d8e7fd736e1fcedec0b	http://archive.ubuntu.com/ubuntu/pool/main/g/gnupg2/dirmngr_2.4.4-2ubuntu17.4_amd64.deb	http://archive.ubuntu.com/ubuntu/pool/main/g/gnupg2/dirmngr_2.4.4-2ubuntu17.4_amd64.deb	true	true	true	selective_mirror_export
